"att_1","att_2","class"
{0 -0.659341,1 -0.064327,2 -1}
{0 0.703297,1 -0.789474,2 1}
{0 0.857143,1 -0.812865,2 1}
{0 -0.373626,1 -0.064327,2 -1}
{0 -0.285714,1 0.426901,2 -1}
{0 0.087912,1 -0.497076,2 1}
{0 0.32967,1 0.146199,2 -1}
{0 -0.428571,1 0.426901,2 -1}
{0 0.032967,1 -0.649123,2 -1}
{0 -0.626374,1 -0.497076,2 -1}
{0 0.791209,1 -0.204678,2 1}
{0 -0.769231,1 -0.497076,2 -1}
{0 -0.593407,1 -0.730994,2 -1}
{0 -0.582418,1 -0.824561,2 -1}
{0 -0.065934,1 -0.719298,2 -1}
{0 -0.604396,1 0.134503,2 -1}
{0 0.373626,1 0.052632,2 -1}
{0 -0.659341,1 -0.508772,2 -1}
{0 -0.692308,1 -0.80117,2 -1}
{0 0.395604,1 -0.578947,2 1}
{0 -0.978022,1 0.181287,2 -1}
{0 0.318681,1 -0.660819,2 1}
{0 -0.395604,1 -0.345029,2 1}
{0 0.857143,1 -0.169591,2 1}
{0 -0.362637,1 -0.017544,2 -1}
{0 0.835165,1 -0.94152,2 1}
{0 -0.32967,1 0.508772,2 -1}
{0 0.857143,1 -0.684211,2 1}
{0 -0.010989,1 -0.719298,2 -1}
{0 0.164835,1 -0.988304,2 -1}
{0 -0.56044,1 0.005848,2 -1}
{0 0.747253,1 0.169591,2 1}
{0 -0.098901,1 -0.777778,2 -1}
{0 -0.659341,1 0.146199,2 -1}
{0 0.703297,1 -0.80117,2 1}
{0 -0.593407,1 0.590643,2 -1}
{0 -0.56044,1 0.649123,2 -1}
{0 -0.032967,1 0.321637,2 -1}
{0 -0.791209,1 0.052632,2 -1}
{0 -0.087912,1 -0.894737,2 -1}
{0 0.857143,1 0.836257,2 -1}
{0 -0.549451,1 0.859649,2 -1}
{0 -0.648352,1 -0.426901,2 -1}
{0 0.571429,1 -0.836257,2 1}
{0 0.813187,1 -0.976608,2 1}
{0 -0.230769,1 -0.146199,2 -1}
{0 -0.593407,1 0.263158,2 -1}
{0 -0.78022,1 0.076023,2 -1}
{0 0.846154,1 0.333333,2 1}
{0 -0.032967,1 0.415205,2 -1}
{0 -0.824176,1 0.532164,2 -1}
{0 0.021978,1 -0.438596,2 1}
{0 0.978022,1 0.730994,2 -1}
{0 0.10989,1 -0.74269,2 -1}
{0 -0.318681,1 0.391813,2 -1}
{0 -0.835165,1 -0.216374,2 -1}
{0 -0.461538,1 -0.707602,2 -1}
{0 -0.065934,1 -0.064327,2 -1}
{0 -0.725275,1 0.064327,2 -1}
{0 0.395604,1 -0.48538,2 1}
{0 -0.538462,1 -0.052632,2 -1}
{0 -0.483516,1 -0.812865,2 -1}
{0 0.901099,1 0.684211,2 -1}
{0 0.791209,1 0.099415,2 1}
{0 0.274725,1 0.28655,2 -1}
{0 0.89011,1 0.871345,2 -1}
{0 0.857143,1 -0.22807,2 1}
{0 -0.714286,1 0.005848,2 -1}
{0 0.274725,1 0.22807,2 -1}
{0 -0.703297,1 0.847953,2 -1}
{0 -0.098901,1 0.052632,2 -1}
{0 -0.758242,1 0.099415,2 -1}
{0 -0.153846,1 0.719298,2 1}
{0 -0.10989,1 0.625731,2 1}
{0 -0.615385,1 0.22807,2 -1}
{0 -0.67033,1 0.754386,2 -1}
{0 0.252747,1 -0.48538,2 1}
{0 -0.791209,1 -0.461988,2 -1}
{0 -0.120879,1 -0.099415,2 -1}
{0 -0.637363,1 0.871345,2 -1}
{0 0.494505,1 0.976608,2 -1}
{0 -0.538462,1 0.730994,2 -1}
{0 -0.428571,1 -0.309942,2 1}
{0 -0.912088,1 0.871345,2 -1}
{0 -0.065934,1 -0.450292,2 1}
{0 0.153846,1 -0.040936,2 -1}
{0 0.065934,1 -0.146199,2 -1}
{0 0.043956,1 0.614035,2 1}
{0 -0.230769,1 0.497076,2 -1}
{0 0.351648,1 0.789474,2 -1}
{0 0.824176,1 0.777778,2 -1}
{0 0.802198,1 0.239766,2 1}
{0 0.065934,1 -0.052632,2 -1}
{0 -0.549451,1 0.087719,2 -1}
{0 -0.912088,1 0.157895,2 -1}
{0 -0.120879,1 0.695906,2 1}
{0 0.450549,1 -0.567251,2 1}
{0 1,1 0.578947,2 -1}
{0 0.120879,1 0.555556,2 1}
{0 0.098901,1 0.380117,2 -1}
{0 -0.637363,1 -0.064327,2 -1}
{0 0.461538,1 -0.146199,2 -1}
{0 0.351648,1 0.157895,2 -1}
{0 -0.43956,1 0.461988,2 -1}
{0 0.725275,1 0.380117,2 1}
{0 0.791209,1 -0.847953,2 1}
{0 -0.296703,1 0.368421,2 -1}
{0 -0.065934,1 0.380117,2 -1}
{0 0.032967,1 -0.438596,2 1}
{0 -0.164835,1 0.847953,2 1}
{0 -0.351648,1 0.146199,2 -1}
{0 0.89011,1 0.251462,2 1}
{0 -0.615385,1 0.74269,2 -1}
{0 -0.923077,1 0.695906,2 -1}
{0 -0.67033,1 -0.707602,2 -1}
{0 -0.142857,1 -0.380117,2 1}
{0 -0.285714,1 0.403509,2 -1}
{0 -0.637363,1 0.766082,2 -1}
{0 0.912088,1 -0.567251,2 1}
{0 -0.527473,1 0.204678,2 -1}
{0 -0.703297,1 0.040936,2 -1}
{0 -0.197802,1 0.403509,2 -1}
{0 0.538462,1 -0.637427,2 1}
{0 0.494505,1 -0.719298,2 1}
{0 0.153846,1 0.146199,2 -1}
{0 -0.626374,1 -0.48538,2 -1}
{0 0.857143,1 -0.298246,2 1}
{0 0.505495,1 -0.181287,2 -1}
{0 -0.703297,1 0.766082,2 -1}
{0 0.285714,1 -0.672515,2 1}
{0 -0.32967,1 -0.74269,2 -1}
{0 -0.230769,1 -0.274854,2 1}
{0 -0.417582,1 0.146199,2 -1}
{0 0.021978,1 0.403509,2 -1}
{0 0.802198,1 -0.426901,2 1}
{0 0.241758,1 0.508772,2 1}
{0 -0.593407,1 0.578947,2 -1}
{0 0.175824,1 -1,2 -1}
{0 0.813187,1 -0.836257,2 1}
{0 0.67033,1 0.473684,2 1}
{0 0.461538,1 0.146199,2 -1}
{0 0.846154,1 0.251462,2 1}
{0 0.846154,1 -0.076023,2 1}
{0 -0.362637,1 0.625731,2 -1}
{0 0.21978,1 0.894737,2 -1}
{0 0.516484,1 -0.637427,2 1}
{0 0.791209,1 0.450292,2 1}
{0 -0.67033,1 -0.614035,2 -1}
{0 -0.263736,1 0.567251,2 -1}
{0 0.197802,1 -0.461988,2 1}
{0 0.417582,1 0.789474,2 -1}
{0 0.571429,1 0.953216,2 -1}
{0 -0.032967,1 -0.169591,2 -1}
{0 -0.384615,1 -0.017544,2 -1}
{0 0.406593,1 -0.508772,2 1}
{0 0.274725,1 0.520468,2 1}
{0 0.285714,1 0.80117,2 -1}
{0 -0.626374,1 -0.672515,2 -1}
{0 -0.098901,1 0.847953,2 1}
{0 0.494505,1 -0.906433,2 1}
{0 -0.604396,1 0.02924,2 -1}
{0 -0.197802,1 0.02924,2 -1}
{0 0.549451,1 0.461988,2 1}
{0 -0.516484,1 0.263158,2 -1}
{0 0.494505,1 0.602339,2 1}
{0 -0.637363,1 0.005848,2 -1}
{0 0.912088,1 -0.099415,2 1}
{0 -0.868132,1 0.614035,2 -1}
{0 -0.417582,1 0.111111,2 -1}
{0 -0.461538,1 -0.590643,2 -1}
{0 0.10989,1 -0.146199,2 -1}
{0 -0.252747,1 -0.450292,2 1}
{0 -0.582418,1 0.649123,2 -1}
{0 -0.010989,1 0.766082,2 1}
{0 0.142857,1 -0.730994,2 -1}
{0 -0.406593,1 0.590643,2 -1}
{0 0.10989,1 -0.789474,2 -1}
{0 -0.637363,1 0.672515,2 -1}
{0 0.846154,1 -0.953216,2 1}
{0 -0.56044,1 0.74269,2 -1}
{1 -0.695906,2 -1}
{0 -0.648352,1 0.824561,2 -1}
{0 0.923077,1 0.707602,2 -1}
{0 -0.307692,1 0.076023,2 -1}
{0 0.351648,1 -0.146199,2 -1}
{0 -0.538462,1 -0.695906,2 -1}
{0 0.142857,1 -0.345029,2 1}
{0 -0.252747,1 -0.333333,2 1}
{0 0.241758,1 -0.415205,2 1}
{0 0.351648,1 -0.461988,2 1}
{0 0.076923,1 -0.274854,2 1}
{0 -0.538462,1 0.614035,2 -1}
{0 -0.010989,1 0.578947,2 1}
{0 0.571429,1 -0.74269,2 1}
{0 -0.472527,1 -0.052632,2 -1}
{0 -0.89011,1 0.263158,2 -1}
{0 -0.483516,1 0.239766,2 -1}
{0 0.901099,1 -0.064327,2 1}
{0 0.230769,1 -0.590643,2 1}
{0 0.923077,1 -0.695906,2 1}
{0 -0.142857,1 0.789474,2 1}
{0 -0.296703,1 -0.02924,2 -1}
{0 0.791209,1 -0.988304,2 1}
{0 0.43956,1 0.567251,2 1}
{0 0.725275,1 0.204678,2 1}
{0 -0.802198,1 0.602339,2 -1}
{0 -0.131868,1 -0.040936,2 -1}
{0 -0.142857,1 0.625731,2 1}
{0 -0.945055,1 0.54386,2 -1}
{0 0.296703,1 0.239766,2 -1}
{0 -0.318681,1 0.508772,2 -1}
{0 0.868132,1 0.309942,2 1}
{0 0.428571,1 -0.614035,2 1}
{0 -0.252747,1 -0.614035,2 -1}
{0 0.626374,1 0.578947,2 1}
{0 -0.131868,1 0.040936,2 -1}
{0 -0.78022,1 -0.730994,2 -1}
{0 -0.417582,1 0.590643,2 -1}
{0 0.351648,1 0.80117,2 -1}
{0 0.615385,1 0.871345,2 -1}
{0 -0.956044,1 0.239766,2 -1}
{0 0.483516,1 -0.894737,2 1}
{0 0.857143,1 -0.134503,2 1}
{0 0.274725,1 -0.461988,2 1}
{0 0.153846,1 0.309942,2 -1}
{0 -0.472527,1 -0.263158,2 1}
{0 -0.89011,1 0.497076,2 -1}
{0 0.076923,1 0.707602,2 1}
{0 0.362637,1 0.017544,2 -1}
{0 -0.912088,1 0.309942,2 -1}
{0 0.879121,1 -0.263158,2 1}
{0 -0.010989,1 0.02924,2 -1}
{0 -0.054945,1 -0.064327,2 -1}
{0 0.769231,1 -1,2 1}
{0 -0.197802,1 -0.298246,2 1}
{0 -0.263736,1 -0.274854,2 1}
{0 0.89011,1 -0.040936,2 1}
{0 -0.417582,1 -0.602339,2 -1}
{0 -0.428571,1 -0.672515,2 -1}
{0 -0.186813,1 -0.719298,2 -1}
{0 0.538462,1 0.906433,2 -1}
{0 0.901099,1 0.602339,2 -1}
{0 -0.307692,1 -0.356725,2 1}
{0 0.054945,1 -0.660819,2 -1}
{0 0.714286,1 0.263158,2 1}
{0 0.868132,1 0.672515,2 -1}
{0 0.637363,1 0.391813,2 1}
{0 0.351648,1 0.508772,2 1}
{0 -0.021978,1 0.356725,2 -1}
{0 -0.395604,1 0.216374,2 -1}
{0 -0.087912,1 0.426901,2 -1}
{0 -0.10989,1 -0.368421,2 1}
{0 0.32967,1 0.28655,2 -1}
{0 0.758242,1 -0.672515,2 1}
{0 -0.406593,1 -0.356725,2 1}
{0 0.021978,1 0.040936,2 -1}
{0 -0.164835,1 -0.28655,2 1}
{0 0.835165,1 -0.590643,2 1}
{0 -0.131868,1 -0.812865,2 -1}
{0 0.516484,1 -0.894737,2 1}
{0 0.89011,1 0.146199,2 1}
{0 0.153846,1 0.169591,2 -1}
{0 -0.197802,1 -0.005848,2 -1}
{0 0.208791,1 0.157895,2 -1}
{0 0.241758,1 0.894737,2 -1}
{0 -0.032967,1 0.707602,2 1}
{0 -0.296703,1 -0.777778,2 -1}
{0 -0.098901,1 -0.660819,2 -1}
{0 0.461538,1 -0.871345,2 1}
{0 -0.604396,1 -0.567251,2 -1}
{0 0.417582,1 -0.707602,2 1}
{0 0.142857,1 0.684211,2 1}
{0 -0.010989,1 0.064327,2 -1}
{0 -0.824176,1 -0.391813,2 -1}
{0 -0.241758,1 0.017544,2 -1}
{0 -0.021978,1 -0.146199,2 -1}
{0 0.637363,1 -0.929825,2 1}
{0 0.021978,1 -0.426901,2 1}
{0 0.78022,1 -0.74269,2 1}
{0 0.197802,1 0.263158,2 -1}
{0 0.791209,1 -0.929825,2 1}
{0 -0.307692,1 -0.111111,2 -1}
{0 0.076923,1 -0.403509,2 1}
{0 -0.681319,1 -0.625731,2 -1}
{0 0.67033,1 -0.847953,2 1}
{0 -0.604396,1 0.251462,2 -1}
{0 -0.978022,1 0.438596,2 -1}
{0 -0.043956,1 -0.157895,2 -1}
{0 -0.494505,1 0.649123,2 -1}
{0 0.241758,1 0.555556,2 1}
{0 0.043956,1 -0.099415,2 -1}
{0 -0.835165,1 -0.099415,2 -1}
{0 -0.054945,1 -0.192982,2 -1}
{0 0.571429,1 0.894737,2 -1}
{0 -0.131868,1 -0.847953,2 -1}
{0 -0.791209,1 -0.274854,2 -1}
{0 0.010989,1 0.637427,2 1}
{0 -0.791209,1 -0.695906,2 -1}
{0 -0.527473,1 0.040936,2 -1}
{1 0.74269,2 1}
{0 0.032967,1 -0.28655,2 1}
{0 -0.076923,1 0.333333,2 -1}
{0 0.098901,1 0.508772,2 1}
{0 0.89011,1 0.812865,2 -1}
{0 0.604396,1 0.953216,2 -1}
{0 -0.230769,1 -0.426901,2 1}
{0 0.846154,1 -0.321637,2 1}
{0 0.626374,1 -0.953216,2 1}
{0 -0.538462,1 0.146199,2 -1}
{0 0.89011,1 -0.076023,2 1}
{0 -0.098901,1 0.298246,2 -1}
{0 0.098901,1 0.192982,2 -1}
{0 -0.604396,1 0.812865,2 -1}
{0 0.67033,1 0.906433,2 -1}
{0 -0.857143,1 0.567251,2 -1}
{0 0.725275,1 0.906433,2 -1}
{0 -0.626374,1 0.192982,2 -1}
{0 0.846154,1 -0.22807,2 1}
{0 -0.021978,1 -0.076023,2 -1}
{0 -0.010989,1 -0.356725,2 1}
{0 -0.043956,1 0.637427,2 1}
{0 0.340659,1 0.812865,2 -1}
{0 -0.318681,1 0.450292,2 -1}
{0 0.450549,1 0.906433,2 -1}
{0 -0.43956,1 -0.754386,2 -1}
{0 -0.923077,1 0.309942,2 -1}
{0 -0.384615,1 0.076023,2 -1}
{0 -0.10989,1 -0.052632,2 -1}
{0 -0.043956,1 -0.368421,2 1}
{0 -0.417582,1 -0.356725,2 1}
{0 0.912088,1 -0.192982,2 1}
{0 -0.395604,1 -0.380117,2 1}
{0 0.120879,1 0.216374,2 -1}
{0 -0.912088,1 0.497076,2 -1}
{0 0.175824,1 -0.356725,2 1}
{0 -0.373626,1 -0.578947,2 -1}
{0 -0.406593,1 -0.555556,2 -1}
{0 0.56044,1 0.976608,2 -1}
{0 -0.736264,1 -0.684211,2 -1}
{0 0.285714,1 0.906433,2 -1}
{0 0.120879,1 0.239766,2 -1}
{0 -0.131868,1 -0.730994,2 -1}
{0 0.494505,1 0.122807,2 -1}
{0 -0.131868,1 0.005848,2 -1}
{0 0.725275,1 -0.847953,2 1}
{0 -0.252747,1 -0.017544,2 -1}
{0 0.857143,1 -0.28655,2 1}
{0 -0.604396,1 0.918129,2 -1}
{0 0.318681,1 -0.54386,2 1}
{0 0.813187,1 -0.637427,2 1}
{0 -0.098901,1 0.859649,2 1}
{0 -0.274725,1 -0.321637,2 1}
{0 -0.912088,1 0.649123,2 -1}
{0 -0.164835,1 -0.824561,2 -1}
{0 -0.879121,1 0.976608,2 -1}
{0 0.417582,1 -0.169591,2 -1}
{0 -0.483516,1 0.052632,2 -1}
{0 0.791209,1 -0.380117,2 1}
{0 0.769231,1 0.461988,2 1}
{0 0.230769,1 0.871345,2 -1}
{0 0.076923,1 0.251462,2 -1}
{0 0.021978,1 -0.274854,2 1}
{0 -0.351648,1 0.403509,2 -1}
{0 0.32967,1 0.918129,2 -1}
{0 -0.835165,1 0.859649,2 -1}
{0 -0.824176,1 0.918129,2 -1}
{0 -0.604396,1 -0.146199,2 -1}
{0 0.571429,1 -0.777778,2 1}
{0 -0.824176,1 0.859649,2 -1}
{0 -0.472527,1 -0.824561,2 -1}
{0 0.307692,1 -0.578947,2 1}
{0 -0.747253,1 0.02924,2 -1}
{0 -0.142857,1 -0.555556,2 -1}
{0 0.461538,1 0.450292,2 1}
{0 0.483516,1 0.122807,2 -1}
{0 -0.450549,1 0.450292,2 -1}
{0 -0.142857,1 -0.754386,2 -1}
{0 -0.604396,1 0.076023,2 -1}
{0 0.714286,1 0.918129,2 -1}
{0 -0.153846,1 -0.426901,2 1}
{0 0.912088,1 -0.017544,2 1}
{0 0.054945,1 -0.368421,2 1}
{0 0.78022,1 -0.695906,2 1}
{0 -0.626374,1 0.099415,2 -1}
{0 0.89011,1 -0.380117,2 1}
{0 -0.626374,1 0.087719,2 -1}
{1 -0.74269,2 -1}
{0 -0.571429,1 0.263158,2 -1}
{0 -0.43956,1 -0.391813,2 1}
{0 0.142857,1 -0.812865,2 -1}
{0 -0.648352,1 -0.438596,2 -1}
{0 -0.021978,1 0.345029,2 -1}
{0 0.241758,1 0.532164,2 1}
{0 0.252747,1 -0.497076,2 1}
{0 -0.098901,1 -0.461988,2 1}
{0 -0.835165,1 0.438596,2 -1}
{0 -0.197802,1 -0.54386,2 -1}
{1 0.380117,2 -1}
{0 -0.593407,1 0.602339,2 -1}
{0 0.351648,1 -0.637427,2 1}
{0 -0.824176,1 0.508772,2 -1}
{0 0.538462,1 -0.859649,2 1}
{0 0.010989,1 0.403509,2 -1}
{0 -0.78022,1 1,2 -1}
{0 -0.857143,1 0.54386,2 -1}
{0 -0.626374,1 -0.415205,2 -1}
{0 -0.483516,1 0.450292,2 -1}
{0 0.78022,1 0.754386,2 -1}
{0 1,1 0.649123,2 -1}
{0 -0.010989,1 0.403509,2 -1}
{0 0.494505,1 -0.625731,2 1}
{0 0.78022,1 -0.28655,2 1}
{0 0.230769,1 -0.871345,2 -1}
{0 -0.307692,1 -0.333333,2 1}
{0 -0.615385,1 0.847953,2 -1}
{0 -0.241758,1 -0.28655,2 1}
{0 0.274725,1 0.789474,2 -1}
{0 -0.043956,1 -0.836257,2 -1}
{1 -0.953216,2 -1}
{0 0.472527,1 -0.578947,2 1}
{0 -0.714286,1 -0.719298,2 -1}
{0 -0.208791,1 -0.415205,2 1}
{0 -0.076923,1 0.789474,2 1}
{0 -0.054945,1 0.80117,2 1}
{0 -0.505495,1 0.087719,2 -1}
{0 0.868132,1 -0.637427,2 1}
{0 0.868132,1 0.251462,2 1}
{0 -0.054945,1 0.567251,2 1}
{0 0.043956,1 0.730994,2 1}
{0 0.835165,1 -0.076023,2 1}
{0 0.428571,1 0.953216,2 -1}
{0 -0.912088,1 0.28655,2 -1}
{0 0.142857,1 0.005848,2 -1}
